lei,fxo_id,period_end,country,package_url,full_url
815600A029117B20DD63,815600A029117B20DD63-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600A029117B20DD63/2023-12-31/ESEF/IT/0/815600A029117B20DD63-2023-12-31.zip,https://filings.xbrl.org/815600A029117B20DD63/2023-12-31/ESEF/IT/0/815600A029117B20DD63-2023-12-31.zip
549300Q3448N041CTH56,549300Q3448N041CTH56-2023-12-31-ESEF-IT-0,2023-12-31,IT,/549300Q3448N041CTH56/2023-12-31/ESEF/IT/0/549300Q3448N041CTH56-2023-12-31.zip,https://filings.xbrl.org/549300Q3448N041CTH56/2023-12-31/ESEF/IT/0/549300Q3448N041CTH56-2023-12-31.zip
8156001895E0F4E7A803,8156001895E0F4E7A803-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156001895E0F4E7A803/2023-12-31/ESEF/IT/0/8156001895E0F4E7A803-2023-12-31-it.zip,https://filings.xbrl.org/8156001895E0F4E7A803/2023-12-31/ESEF/IT/0/8156001895E0F4E7A803-2023-12-31-it.zip
815600DAEFB0388F3521,815600DAEFB0388F3521-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600DAEFB0388F3521/2023-12-31/ESEF/IT/0/815600DAEFB0388F3521-2023-12-31.zip,https://filings.xbrl.org/815600DAEFB0388F3521/2023-12-31/ESEF/IT/0/815600DAEFB0388F3521-2023-12-31.zip
8156007AF7DB5FE05555,8156007AF7DB5FE05555-2023-12-31-ESEF-IT-1,2023-12-31,IT,/8156007AF7DB5FE05555/2023-12-31/ESEF/IT/1/8156007AF7DB5FE05555-2023-12-31-it.zip,https://filings.xbrl.org/8156007AF7DB5FE05555/2023-12-31/ESEF/IT/1/8156007AF7DB5FE05555-2023-12-31-it.zip
81560012F663E89E7085,81560012F663E89E7085-2023-12-31-ESEF-IT-0,2023-12-31,IT,/81560012F663E89E7085/2023-12-31/ESEF/IT/0/81560012F663E89E7085-2023-12-31.zip,https://filings.xbrl.org/81560012F663E89E7085/2023-12-31/ESEF/IT/0/81560012F663E89E7085-2023-12-31.zip
8156004E40D6A02C5046,8156004E40D6A02C5046-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156004E40D6A02C5046/2023-12-31/ESEF/IT/0/8156004E40D6A02C5046-2023-12-31.zip,https://filings.xbrl.org/8156004E40D6A02C5046/2023-12-31/ESEF/IT/0/8156004E40D6A02C5046-2023-12-31.zip
81560094A389646CAF21,81560094A389646CAF21-2023-12-31-ESEF-IT-0,2023-12-31,IT,/81560094A389646CAF21/2023-12-31/ESEF/IT/0/81560094A389646CAF21-2023-12-31.zip,https://filings.xbrl.org/81560094A389646CAF21/2023-12-31/ESEF/IT/0/81560094A389646CAF21-2023-12-31.zip
815600925CD848EDBA96,815600925CD848EDBA96-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600925CD848EDBA96/2023-12-31/ESEF/IT/0/815600925CD848EDBA96-2023-12-31-it.zip,https://filings.xbrl.org/815600925CD848EDBA96/2023-12-31/ESEF/IT/0/815600925CD848EDBA96-2023-12-31-it.zip
81560026FB4FD48C6110,81560026FB4FD48C6110-2023-12-31-ESEF-IT-0,2023-12-31,IT,/81560026FB4FD48C6110/2023-12-31/ESEF/IT/0/81560026FB4FD48C6110-2023-12-31-it.zip,https://filings.xbrl.org/81560026FB4FD48C6110/2023-12-31/ESEF/IT/0/81560026FB4FD48C6110-2023-12-31-it.zip
815600C851C90CAE6438,815600C851C90CAE6438-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600C851C90CAE6438/2023-12-31/ESEF/IT/0/815600C851C90CAE6438-2023-12-31.zip,https://filings.xbrl.org/815600C851C90CAE6438/2023-12-31/ESEF/IT/0/815600C851C90CAE6438-2023-12-31.zip
549300O7SBDSNG4IB582,549300O7SBDSNG4IB582-2023-12-31-ESEF-IT-0,2023-12-31,IT,/549300O7SBDSNG4IB582/2023-12-31/ESEF/IT/0/549300O7SBDSNG4IB582-2023-12-31-it.zip,https://filings.xbrl.org/549300O7SBDSNG4IB582/2023-12-31/ESEF/IT/0/549300O7SBDSNG4IB582-2023-12-31-it.zip
81560094D50B119C1486,81560094D50B119C1486-2023-12-31-ESEF-IT-0,2023-12-31,IT,/81560094D50B119C1486/2023-12-31/ESEF/IT/0/81560094D50B119C1486-2023-12-31-it.zip,https://filings.xbrl.org/81560094D50B119C1486/2023-12-31/ESEF/IT/0/81560094D50B119C1486-2023-12-31-it.zip
8156008BFBC06F53DD56,8156008BFBC06F53DD56-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156008BFBC06F53DD56/2023-12-31/ESEF/IT/0/8156008BFBC06F53DD56-2023-12-31-it.zip,https://filings.xbrl.org/8156008BFBC06F53DD56/2023-12-31/ESEF/IT/0/8156008BFBC06F53DD56-2023-12-31-it.zip
81560069957E4ACDD336,81560069957E4ACDD336-2023-12-31-ESEF-IT-0,2023-12-31,IT,/81560069957E4ACDD336/2023-12-31/ESEF/IT/0/81560069957E4ACDD336-2023-12-31.zip,https://filings.xbrl.org/81560069957E4ACDD336/2023-12-31/ESEF/IT/0/81560069957E4ACDD336-2023-12-31.zip
815600AB6FA8AADC8739,815600AB6FA8AADC8739-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600AB6FA8AADC8739/2023-12-31/ESEF/IT/0/fnm-2023-12-31-it.zip,https://filings.xbrl.org/815600AB6FA8AADC8739/2023-12-31/ESEF/IT/0/fnm-2023-12-31-it.zip
815600E31C4E7006AB54,815600E31C4E7006AB54-2023-12-31-ESEF-IT-1,2023-12-31,IT,/815600E31C4E7006AB54/2023-12-31/ESEF/IT/1/815600E31C4E7006AB54-2023-12-31-it.zip,https://filings.xbrl.org/815600E31C4E7006AB54/2023-12-31/ESEF/IT/1/815600E31C4E7006AB54-2023-12-31-it.zip
8156007E3375956ADD08,8156007E3375956ADD08-2023-12-31-ESEF-IT-1,2023-12-31,IT,/8156007E3375956ADD08/2023-12-31/ESEF/IT/1/8156007E3375956ADD08-2023-12-31.zip,https://filings.xbrl.org/8156007E3375956ADD08/2023-12-31/ESEF/IT/1/8156007E3375956ADD08-2023-12-31.zip
815600E787F3B6565561,815600E787F3B6565561-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600E787F3B6565561/2023-12-31/ESEF/IT/0/815600E787F3B6565561-2023-12-31.zip,https://filings.xbrl.org/815600E787F3B6565561/2023-12-31/ESEF/IT/0/815600E787F3B6565561-2023-12-31.zip
815600F40754716D2D91,815600F40754716D2D91-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600F40754716D2D91/2023-12-31/ESEF/IT/0/815600F40754716D2D91-2023-12-31-it.zip,https://filings.xbrl.org/815600F40754716D2D91/2023-12-31/ESEF/IT/0/815600F40754716D2D91-2023-12-31-it.zip
5493005HPJ40IY377O47,5493005HPJ40IY377O47-2023-12-31-ESEF-IT-0,2023-12-31,IT,/5493005HPJ40IY377O47/2023-12-31/ESEF/IT/0/5493005HPJ40IY377O47-2023-12-31.zip,https://filings.xbrl.org/5493005HPJ40IY377O47/2023-12-31/ESEF/IT/0/5493005HPJ40IY377O47-2023-12-31.zip
815600C8F6D5ACBA9F86,815600C8F6D5ACBA9F86-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600C8F6D5ACBA9F86/2023-12-31/ESEF/IT/0/815600C8F6D5ACBA9F86-2023-12-31.zip,https://filings.xbrl.org/815600C8F6D5ACBA9F86/2023-12-31/ESEF/IT/0/815600C8F6D5ACBA9F86-2023-12-31.zip
815600AB2BDB42BC0E81,815600AB2BDB42BC0E81-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600AB2BDB42BC0E81/2023-12-31/ESEF/IT/0/815600AB2BDB42BC0E81-2023-12-31-it.zip,https://filings.xbrl.org/815600AB2BDB42BC0E81/2023-12-31/ESEF/IT/0/815600AB2BDB42BC0E81-2023-12-31-it.zip
8156005420362AE59184,8156005420362AE59184-2023-12-31-ESEF-IT-0,2023-12-31,IT,/8156005420362AE59184/2023-12-31/ESEF/IT/0/8156005420362AE59184-2023-12-31.zip,https://filings.xbrl.org/8156005420362AE59184/2023-12-31/ESEF/IT/0/8156005420362AE59184-2023-12-31.zip
815600903231FA2E7698,815600903231FA2E7698-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600903231FA2E7698/2023-12-31/ESEF/IT/0/815600903231FA2E7698-2023-12-31.zip,https://filings.xbrl.org/815600903231FA2E7698/2023-12-31/ESEF/IT/0/815600903231FA2E7698-2023-12-31.zip
815600BEB2A5426B0084,815600BEB2A5426B0084-2023-12-31-ESEF-IT-0,2023-12-31,IT,/815600BEB2A5426B0084/2023-12-31/ESEF/IT/0/815600BEB2A5426B0084-2023-12-31-it.zip,https://filings.xbrl.org/815600BEB2A5426B0084/2023-12-31/ESEF/IT/0/815600BEB2A5426B0084-2023-12-31-it.zip
815600C36B3D0988AB30,815600C36B3D0988AB30-2023-12-31-ESEF-IT-1,2023-12-31,IT,/815600C36B3D0988AB30/2023-12-31/ESEF/IT/1/aqf-2023-12-31-IT.zip,https://filings.xbrl.org/815600C36B3D0988AB30/2023-12-31/ESEF/IT/1/aqf-2023-12-31-IT.zip
81560028375CEF68C972,81560028375CEF68C972-2023-12-31-ESEF-IT-0,2023-12-31,IT,/81560028375CEF68C972/2023-12-31/ESEF/IT/0/81560028375CEF68C972-2023-12-31-it.zip,https://filings.xbrl.org/81560028375CEF68C972/2023-12-31/ESEF/IT/0/81560028375CEF68C972-2023-12-31-it.zip
